school,school_id,name,department,rating,difficulty,takeagain,most_common_tag,tags
Truman State University,1038,Sam McClure  ,Fine Arts,3.4,2.3,100%,,
Truman State University,1038,Jeanne Mitchell  ,Science,3.8,3.5,86%,,
Truman State University,1038,Robert Mielke  ,Literature,3.2,3.2,54%,,
Truman State University,1038,Mary Shapiro  ,Linguistics,3.8,3.2,,,
Truman State University,1038,Sana Camara  ,Languages,2.7,2.3,72%,,
Truman State University,1038,Joe Benevento  ,English,4.3,2.3,100%,,
Truman State University,1038,Bridget Thomas  ,Literature,,3.5,100%,,
Truman State University,1038,Betty McLane-Iles  ,Languages,2.7,3.1,22%,,
Truman State University,1038,Wolfgang Hoeschele  ,Geography,2.1,3.1,,,
Truman State University,1038,W Ashcraft  ,Religion,4.3,2.3,100%,,
Truman State University,1038,Elizabeth Delmonico  ,English,2.7,2.3,,,
Truman State University,1038,Donald Bindner  ,Mathematics,3.5,3.1,58%,,
Truman State University,1038,Dan Doman  ,Languages,4.7,2.1,100%,,
Truman State University,1038,Thomas Zoumaras  ,History,3.1,3.6,20%,,
Truman State University,1038,Cole Woodcox  ,Literature,4.8,3.6,,,
Truman State University,1038,Pat Gately  ,Literature,3.8,3.6,,,
Truman State University,1038,John O'Brien  ,Chemistry,4.3,2.7,91%,,
Truman State University,1038,Debra Kerby  ,Accounting,4.2,2.7,,,
Truman State University,1038,Aaron Fine  ,Fine Arts,2.2,3.6,50%,,
Truman State University,1038,Linda Seidel  ,Literature,3.8,2.8,34%,,
Truman State University,1038,Jerry Hirsch  ,History,2.3,2.8,,,
Truman State University,1038,Michael Blum  ,Business,3.5,2.9,80%,,
Truman State University,1038,Michael Goggin  ,Physics,3.5,3.2,67%,,
Truman State University,1038,Christopher Maglio  ,Social Science,2.1,3.2,,,
Truman State University,1038,Brent Orton  ,Literature,4.4,3.2,,,
Truman State University,1038,Peter Goldman  ,Biology,3.6,3.2,,,
Truman State University,1038,Jeff Gall  ,History,4.8,2.8,100%,,
Truman State University,1038,Elaine McDuff  ,Sociology,4.7,2.8,,,
Truman State University,1038,Eric Howard  ,Mathematics,3.9,3.3,100%,,
Truman State University,1038,Rebecca Harrison  ,Languages,3.1,3.3,,,
Truman State University,1038,Marc Rice  ,Music,3.3,2.4,100%,,
Truman State University,1038,Tim Farley  ,Languages,4.2,2.8,75%,,
Truman State University,1038,Ruthie Dare-Halma  ,Computer Science,2.4,3.7,25%,,
Truman State University,1038,Robert Cacioppo  ,Mathematics,,3.7,,,
Truman State University,1038,Jennifer Jesse  ,Philosophy,3.1,3.8,29%,,
Truman State University,1038,Monica Barron  ,English,3.1,3.9,75%,,
Truman State University,1038,Evonne Bird  ,Health Science,2.8,2.7,43%,,
Truman State University,1038,Tony Vazzana  ,Mathematics,4.5,2.9,91%,,
Truman State University,1038,Paul Fellows  ,Business,3.3,4.4,100%,,
Truman State University,1038,Judy Misale  ,Psychology,2.2,4.4,,,
Truman State University,1038,Juan Valencia  ,Languages,3.7,3.1,54%,,
Truman State University,1038,Bryce Jones  ,Business,4.1,3.1,,,
Truman State University,1038,Rebecca Green  ,Languages,4.6,3.1,,,
Truman State University,1038,Alanna Preussner  ,English,4.7,3.1,,,
Truman State University,1038,Michelle Kleine  ,Communication,,3.5,67%,,
Truman State University,1038,Brenda Moore  ,Biology,4.4,3.5,,,
Truman State University,1038,Alex Tetlak  ,Languages,4.7,2.5,86%,,
Truman State University,1038,Julie Minn  ,Languages,3.9,2.5,,,
Truman State University,1038,Torbjorn Wandel  ,History,4.3,,82%,,
Truman State University,1038,Scott Thatcher  ,Mathematics,3.5,3.2,67%,,
Truman State University,1038,Greg Richter  ,Linguistics,3.9,,91%,,
Truman State University,1038,Christine Harker  ,English,2.9,4.4,18%,,
Truman State University,1038,Lin Twining  ,Biology,2.2,4.4,,,
Truman State University,1038,Paul Parker  ,Political Science,3.7,3.3,64%,,
Truman State University,1038,Joaquin Maldonado  ,Languages,3.9,3.5,38%,,
Truman State University,1038,Clifton Kreps  ,Classics,4.8,,100%,,
Truman State University,1038,Rodney Taylor  ,Languages,2.6,,,,
Truman State University,1038,Karen Vittengl  ,Psychology,3.5,,91%,,
Truman State University,1038,Royce Kallerud  ,English,3.6,2.7,60%,,
Truman State University,1038,David B. Conner  ,Psychology,3.9,2.5,67%,,
Truman State University,1038,Sally West  ,History,4.8,2.8,100%,,
Truman State University,1038,Adam Davis  ,English,4.3,2.7,100%,,
Truman State University,1038,Sally Cook  ,English,4.3,2.5,100%,,
Truman State University,1038,David Gillette  ,Economics,4.3,3.7,100%,,
Truman State University,1038,Barry Poyner  ,Communication,2.7,,70%,,
Truman State University,1038,Barbara Kramer  ,Chemistry,4.1,3.3,86%,,
Truman State University,1038,Sal Costa  ,Psychology,3.5,2.4,62%,,
Truman State University,1038,David Garth  ,Mathematics,4.5,2.6,100%,,
Truman State University,1038,Michele Breault  ,Psychology,3.2,2.6,,,
Truman State University,1038,Faith Beane  ,Languages,3.9,2.6,,,
Truman State University,1038,Eduardo Velasco  ,Physics,3.3,2.6,,,
Truman State University,1038,Ian Lindevald  ,Physics,4.5,2.8,100%,,
Truman State University,1038,David Murphy  ,Philosophy,2.5,3.1,20%,,
Truman State University,1038,Jonathan Gering  ,Biology,4.3,3.2,100%,,
Truman State University,1038,Amanda Medlock  ,Communication,2.5,2.7,50%,,
Truman State University,1038,James Przybylski  ,Political Science,2.9,2.7,,,
Truman State University,1038,Candy Young  ,Political Science,,3.5,90%,,
Truman State University,1038,Eric Jewell  ,Languages,3.5,3.5,,,
Truman State University,1038,John Hoffman  ,Chemistry,4.4,3.5,,,
Truman State University,1038,Randy Hagerty  ,Political Science,4.3,3.1,72%,,
Truman State University,1038,Linda Moore  ,English,3.1,2.6,72%,,
Truman State University,1038,Marie Orton  ,Languages,4.9,2.6,,,
Truman State University,1038,Philip Ryan  ,Mathematics,,3.7,25%,,
Truman State University,1038,Antonio Scuderi  ,Languages,3.4,2.7,90%,,
Truman State University,1038,Hyun-Joo Kim  ,Mathematics,2.9,3.1,56%,,
Truman State University,1038,Henry Wohlers  ,Chemistry,2.3,3.1,,,
Truman State University,1038,Vaughan Pultz  ,Chemistry,2.7,3.6,40%,,
Truman State University,1038,Wendy Miner  ,Education,3.9,3.6,100%,,
Truman State University,1038,Lucy Lee  ,Languages,,4.5,75%,,
Truman State University,1038,Melody Jennings  ,Physical Ed,3.3,3.1,43%,,
Truman State University,1038,Werner Sublette  ,Economics,3.4,3.1,,,
Truman State University,1038,John Quinn  ,Political Science,3.5,3.8,63%,,
Truman State University,1038,E Hintz  ,Languages,,1.4,88%,,
Truman State University,1038,Kevin Easley  ,Mathematics,4.3,3.8,75%,,
Truman State University,1038,Kenneth Carter  ,Chemistry,2.3,2.3,40%,,
Truman State University,1038,Scott Alberts  ,Mathematics,,3.4,38%,,
Truman State University,1038,"Ding-Hwa ""Evelyn"" Hsieh  ",Religion,,3.3,29%,,
Truman State University,1038,Ron Rybkowski  ,Theater,4.6,2.3,100%,,
Truman State University,1038,Priscilla Riggle  ,English,4.6,,92%,,
Truman State University,1038,Barbara Price  ,English,3.5,,25%,,
Truman State University,1038,Randy Smith  ,Music,,,,,
Truman State University,1038,Julia Delancey  ,Art History,4.7,3.7,100%,,
Truman State University,1038,Warren Gooch  ,Fine Arts,4.5,3.7,,,
Truman State University,1038,Michael Bump  ,Music,4.4,3.7,,,
Truman State University,1038,Carol Thatcher  ,Mathematics,4.3,2.3,100%,,
Truman State University,1038,Patricia Burton  ,Philosophy,4.3,2.6,50%,,
Truman State University,1038,Dana Smith  ,Theater,2.5,3.6,34%,,
Truman State University,1038,Peter Ramberg  ,Science,2.3,,9%,,
Truman State University,1038,Gregg Siewert  ,Languages,2.6,,,,
Truman State University,1038,Stephen Pollard  ,Philosophy,4.2,1.9,88%,,
Truman State University,1038,Tony Weisstein  ,Biology,4.2,3.6,79%,,
Truman State University,1038,John Neitzke  ,Computer Science,1.9,3.7,8%,,
Truman State University,1038,Huping Ling  ,History,3.3,3.3,100%,,
Truman State University,1038,Dan Peterson  ,Music,3.8,3.3,,,
Truman State University,1038,Vera Piper  ,Languages,3.2,3.3,,,
Truman State University,1038,Mark Campbell  ,Agriculture,3.6,1.7,67%,,
Truman State University,1038,Carol Marshall  ,Languages,4.2,1.7,,,
Truman State University,1038,Ben Ogden  ,Languages,,2.8,63%,,
Truman State University,1038,Albert Weitz  ,Communication,3.5,2.8,,,
Truman State University,1038,Sylvia Ojukutu-Macauley  ,History,2.3,2.8,,,
Truman State University,1038,Xiaofen Chen  ,Economics,2.4,3.1,25%,,
Truman State University,1038,James Padfield  ,Health Science,3.1,2.5,50%,,
Truman State University,1038,Jeff Arabas  ,Health Science,4.3,1.3,100%,,
Truman State University,1038,Chein Sung  ,Economics,2.6,,12%,,
Truman State University,1038,Michael Kelrick  ,Biology,3.2,,,,
Truman State University,1038,Thomas Tegtmeyer  ,Mathematics,4.1,,,,
Truman State University,1038,Steve J. Smith  ,Mathematics,4.5,3.1,100%,,
Truman State University,1038,Marty Jayne  ,Criminal Justice,3.4,3.6,75%,,
Truman State University,1038,Suren Fernando  ,Mathematics,3.1,3.8,38%,,
Truman State University,1038,David McCurdy  ,Chemistry,4.3,3.8,,,
Truman State University,1038,Bruce Coggins  ,Economics,4.2,3.8,,,
Truman State University,1038,Anne Bergey  ,Biology,4.6,3.3,93%,,
Truman State University,1038,Jim Jereb  ,Fine Arts,4.7,3.3,,,
Truman State University,1038,Natalie Alexander  ,Philosophy,,3.3,7%,,
Truman State University,1038,Laura Fielden  ,Biology,4.2,2.9,100%,,
Truman State University,1038,Elaine Aubuchon  ,Music,4.3,2.5,50%,,
Truman State University,1038,Steven Reschly  ,History,3.5,2.8,50%,,
Truman State University,1038,Thomas Capuano  ,Languages,3.8,2.8,,,
Truman State University,1038,David K. Robinson  ,History,4.5,2.6,100%,,
Truman State University,1038,Sarah Mohler  ,Literature,4.1,2.4,100%,,
Truman State University,1038,Patrick Lobert  ,Languages,3.9,2.4,,,
Truman State University,1038,Donna Bailey  ,Mathematics,2.6,2.4,,,
Truman State University,1038,Diane Johnson  ,Communication,4.4,2.4,,,
Truman State University,1038,Todd Hammond  ,Mathematics,2.4,3.7,67%,,
Truman State University,1038,James Guffey  ,Mathematics,4.6,3.2,100%,,
Truman State University,1038,Daniel Mandell  ,History,2.8,3.5,45%,,
Truman State University,1038,Jon Beck  ,Computer Science,3.8,4.2,48%,,
Truman State University,1038,Dana Vazzana  ,Mathematics,3.1,3.4,29%,,
Truman State University,1038,Susan Lagrassa  ,Mathematics,4.3,3.4,,,
Truman State University,1038,Alan Garvey  ,Computer Science,2.9,2.5,80%,,
Truman State University,1038,Carol Cox  ,Health Science,3.8,2.6,100%,,
Truman State University,1038,Michael Adams  ,Mathematics,3.7,3.4,67%,,
Truman State University,1038,Mark Hatala  ,Psychology,3.7,3.3,86%,,
Truman State University,1038,Mark Hanley  ,History,4.5,3.7,100%,,
Truman State University,1038,Chad Mohler  ,Philosophy,4.6,2.4,100%,,
Truman State University,1038,James McCormick  ,Chemistry,2.9,4.6,30%,,
Truman State University,1038,Fredric Shaffer  ,Psychology,,3.3,58%,,
Truman State University,1038,Elisabeth Hooper  ,Biology,3.7,3.3,86%,,
Truman State University,1038,Andrea Richards  ,Communication Disorders,4.7,2.1,100%,,
Truman State University,1038,Jana Arabas  ,Health Science,3.5,2.2,88%,,
Truman State University,1038,Wynne Wilbur  ,Fine Arts,2.5,2.2,,,
Truman State University,1038,Patricia Mickey  ,Music,4.2,2.1,56%,,
Truman State University,1038,Masahiro Hara  ,Languages,4.3,2.4,100%,,
Truman State University,1038,Terry Olson  ,Economics,,,70%,,
Truman State University,1038,Adrien Presley  ,Business,3.7,2.5,75%,,
Truman State University,1038,Jason Lin  ,Finance,3.1,4.2,100%,,
Truman State University,1038,Jay Belanger  ,Mathematics,4.3,2.4,100%,,
Truman State University,1038,Mustafa Sawani  ,Economics,2.5,3.6,19%,,
Truman State University,1038,Susan Guffey  ,Science,4.2,4.1,100%,,
Truman State University,1038,Donna Rhinesmith  ,Education,,4.1,,,
Truman State University,1038,Alan Davis  ,Accounting,3.7,3.3,34%,,
Truman State University,1038,Dana Delaware  ,Chemistry,3.4,3.3,,,
Truman State University,1038,Cathy Poyner  ,Business,2.3,3.3,,,
Truman State University,1038,Jerry Mayhew  ,Science,,,50%,,
Truman State University,1038,Matthew Tornatore  ,Languages,4.4,2.6,86%,,
Truman State University,1038,Sandra Weber  ,Accounting,3.6,2.6,,,
Truman State University,1038,Jason Shaw  ,Mathematics,3.2,2.6,,,
Truman State University,1038,John Self  ,Communication,3.5,3.7,67%,,
Truman State University,1038,Lin Zhang  ,Marketing,2.4,2.8,45%,,
Truman State University,1038,Russell Nelson  ,Graphic Arts,4.6,3.1,100%,,
Truman State University,1038,Jay Bulen  ,Music,3.4,3.1,,,
Truman State University,1038,Andrew Klyukovski  ,Communication,3.2,3.2,43%,,
Truman State University,1038,Brent Buckner  ,Biology,3.5,3.8,29%,,
Truman State University,1038,Janice Clark  ,Health Science,4.3,,50%,,
Truman State University,1038,George Schulte  ,Biology,2.5,,,,
Truman State University,1038,Stephen Allen  ,Business,3.8,2.9,100%,,
Truman State University,1038,Andrea Davis  ,Languages,3.9,2.7,57%,,
Truman State University,1038,Brian Lamp  ,Chemistry,4.2,,100%,,
Truman State University,1038,James Cianciola  ,Communication,4.6,2.6,100%,,
Truman State University,1038,Martha Rose  ,History,4.1,2.6,,,
Truman State University,1038,Sara Orel  ,Fine Arts,2.8,3.9,67%,,
Truman State University,1038,Shirley McKamie  ,Music,4.7,2.2,90%,,
Truman State University,1038,Elizabeth Clark  ,Communication,3.1,2.2,,,
Truman State University,1038,Stephanie Fore  ,Biology,2.3,3.6,25%,,
Truman State University,1038,Mark Appold  ,Religion,3.5,3.7,100%,,
Truman State University,1038,Marc Becker  ,History,3.3,2.8,78%,,
Truman State University,1038,Lloyd Pflueger  ,Philosophy,2.5,,25%,,
Truman State University,1038,Jeffrey Vittengl  ,Psychology,3.9,3.3,75%,,
Truman State University,1038,Ed Rogers  ,English,4.5,1.5,89%,,
Truman State University,1038,Robert Matthews  ,Computer Science,4.6,2.8,100%,,
Truman State University,1038,Jesse Krebs  ,Music,4.9,2.5,100%,,
Truman State University,1038,Terry Palmer  ,Psychology,3.4,3.6,46%,,
Truman State University,1038,Glenn Wehner  ,Agriculture,4.3,3.6,,,
Truman State University,1038,Steve R. Smith  ,Economics,3.8,3.6,88%,,
Truman State University,1038,Jennifer Hurst  ,Health Science,3.8,2.5,50%,,
Truman State University,1038,Diane Janick-Buckner  ,Biology,4.3,3.6,82%,,
Truman State University,1038,Sherri Palmer  ,Psychology,3.8,2.7,67%,,
Truman State University,1038,Cassie Deblauw  ,Health Science,3.4,1.5,84%,,
Truman State University,1038,Ronald Manning  ,Languages,4.1,1.2,100%,,
Truman State University,1038,Amber Johnson  ,Anthropology,4.4,2.5,67%,,
Truman State University,1038,Beverly Perrachione  ,Education,2.7,2.5,,,
Truman State University,1038,Scott Fouch  ,Accounting,3.5,2.5,,,
Truman State University,1038,Mark Smith  ,Communication,4.3,2.3,100%,,
Truman State University,1038,Dean DeCock  ,Mathematics,3.9,,43%,,
Truman State University,1038,Priya Kambli  ,Art,3.1,,60%,,
Truman State University,1038,Mark Jennings  ,Music,3.7,,67%,,
Truman State University,1038,Roberta Donahue  ,Health Science,4.2,2.1,100%,,
Truman State University,1038,Laurie Turner  ,Accounting,2.7,2.1,,,
Truman State University,1038,Robert Tigner  ,Psychology,4.3,3.2,85%,,
Truman State University,1038,James Tichenor  ,Psychology,4.5,3.2,,,
Truman State University,1038,Shelia Berkowitz  ,Education,2.6,3.2,,,
Truman State University,1038,Taner Edis  ,Physics,3.5,,58%,,
Truman State University,1038,Shannon Jumper  ,Literature,2.2,3.6,25%,,
Truman State University,1038,Cynthia Cooper  ,Biology,2.4,3.6,,,
Truman State University,1038,A Mun  ,Business,2.6,4.5,40%,,
Truman State University,1038,Sandra Fleak  ,Accounting,3.4,,84%,,
Truman State University,1038,Robert Nothdurft  ,Physics,4.7,,100%,,
Truman State University,1038,Janet Gooch  ,Communication Disorders,3.2,,,,
Truman State University,1038,Kathryn Brammall  ,History,3.8,4.1,34%,,
Truman State University,1038,Andrea Maag  ,Academic Services,,,100%,,
Truman State University,1038,Wynona Murphy  ,Psychology,2.7,,,,
Truman State University,1038,Russel Baughman  ,Chemistry,1.9,,,,
Truman State University,1038,Anne Moody  ,Chemistry,4.3,3.8,100%,,
Truman State University,1038,Phyllis Robertson  ,Music,4.2,3.8,,,
Truman State University,1038,Thomas Hueber  ,Music,4.9,3.8,,,
Truman State University,1038,Melissa J Holcomb  ,Nursing,3.6,3.8,,,
Truman State University,1038,Chuck Boughton  ,Business,,2.4,72%,,
Truman State University,1038,Timothy Walston  ,Biology,3.9,2.4,,,
Truman State University,1038,Dereck Daschke  ,Philosophy,4.1,2.4,82%,,
Truman State University,1038,Debra Cartwright  ,Business,2.4,3.7,42%,,
Truman State University,1038,John Bohac  ,Fine Arts,2.7,3.7,,,
Truman State University,1038,Keith Harrison  ,Accounting,4.4,3.7,,,
Truman State University,1038,Marcy Graham  ,Advisor,,3.7,,,
Truman State University,1038,Julianna Moore  ,Music,3.7,3.5,50%,,
Truman State University,1038,Michael Bird  ,Health Science,4.2,3.6,100%,,
Truman State University,1038,Sharon McGahan  ,Nursing,2.3,3.6,,,
Truman State University,1038,Paul Yoder  ,English,4.3,2.7,100%,,
Truman State University,1038,Teak Nelson  ,Nursing,3.3,3.5,60%,,
Truman State University,1038,Tim Schwegler  ,Physical Education,3.8,3.5,,,
Truman State University,1038,George Shinn  ,Biology,4.5,2.8,100%,,
Truman State University,1038,Chad Montgomery  ,Biology,4.3,3.3,100%,,
Truman State University,1038,Greg Jones  ,Music,4.8,3.3,,,
Truman State University,1038,Donald Krause  ,Communication,4.8,2.1,100%,,
Truman State University,1038,Marilyn Yaquinto  ,Communication,3.6,2.1,,,
Truman State University,1038,James D'Agostino  ,English,4.3,1.9,100%,,
Truman State University,1038,Jeanette Regan  ,English,4.5,1.7,100%,,
Truman State University,1038,Brian Kubin  ,Music,4.3,2.7,100%,,
Truman State University,1038,Leslie Hardesty  ,Physical Education,4.5,1.1,100%,,
Truman State University,1038,Datha Martinez  ,Marketing,4.8,2.3,100%,,
Truman State University,1038,Vayujeet Gokhale  ,Physics,4.4,2.7,100%,,
Truman State University,1038,Matt Derezinski  ,Art,2.4,4.1,50%,,
Truman State University,1038,Joy Pugh  ,Criminal Justice,,4.1,,,
Truman State University,1038,Sandra Rempe  ,Criminal Justice,4.5,2.2,100%,,
Truman State University,1038,Dereck Deschke  ,Philosophy,,2.2,,,
Truman State University,1038,Madeleine Jepson  ,Education,4.8,1.8,100%,,
Truman State University,1038,Emily Costello  ,Agriculture,3.2,2.7,34%,,
Truman State University,1038,Suzann Copeland  ,Education,4.2,2.7,,,
Truman State University,1038,Kristen Irwin  ,Accounting,2.8,2.7,,,
Truman State University,1038,Nabil Alghalith  ,Business,2.5,3.1,37%,,
Truman State University,1038,Stephen Hudman  ,Biology,4.2,4.2,100%,,
Truman State University,1038,Sergio Escobar  ,Languages,2.6,3.5,50%,,
Truman State University,1038,Liz Jorn  ,Health Science,4.7,1.8,100%,,
Truman State University,1038,Laura Nickelson  ,Education,4.2,1.8,,,
Truman State University,1038,Heather Cianciola  ,English,4.4,2.6,84%,,
Truman State University,1038,Russell Luce  ,Communication,3.6,2.6,,,
Truman State University,1038,Dave Leaton  ,English,4.4,2.2,100%,,
Truman State University,1038,Sarah Delaware  ,Nursing,,2.2,,,
Truman State University,1038,Charles Gran  ,Fine Arts,2.6,3.7,50%,,
Truman State University,1038,David Charles Goyette  ,Theater,4.3,2.5,78%,,
Truman State University,1038,Rubana Mahjabeen  ,Economics,3.2,2.5,,,
Truman State University,1038,Patrick Lecaque  ,Languages,4.8,2.5,,,
Truman State University,1038,David McKamie  ,Music,,4.1,100%,,
Truman State University,1038,Tim Aubuchon  ,Music,4.7,1.5,100%,,
Truman State University,1038,Kit Hadwiger  ,Nursing,,3.3,100%,,
Truman State University,1038,Beverly Peters  ,Education,4.6,,50%,,
Truman State University,1038,Kristi Scholten  ,Communication,4.2,,,,
Truman State University,1038,Douglas Ball  ,Linguistics,3.9,2.7,56%,,
Truman State University,1038,Mark Williams  ,Criminal Justice,,2.7,,,
Truman State University,1038,James Hammerstrand  ,Languages,4.5,2.6,92%,,
Truman State University,1038,Curt Blakely  ,Criminal Justice,4.6,1.7,100%,,
Truman State University,1038,Michael Rudy  ,Political Science,4.3,3.5,100%,,
Truman State University,1038,Jacqueline Collett  ,Music,4.9,1.4,100%,,
Truman State University,1038,Shinya Uchida  ,Languages,4.8,,100%,,
Truman State University,1038,Ping XU  ,Art,2.5,2.7,100%,,
Truman State University,1038,Jeremy Byers  ,Military Science,4.5,2.7,,,
Truman State University,1038,Robert Jones  ,Art,3.9,2.7,,,
Truman State University,1038,Angelita Garth  ,Mathematics,4.2,2.8,78%,,
Truman State University,1038,Daniel Hamlet  ,Military Science,4.6,2.8,,,
Truman State University,1038,David Peppard  ,Communication,4.5,2.8,,,
Truman State University,1038,Pamela Melvin  ,Nursing,4.3,2.8,,,
Truman State University,1038,Tamara Frost  ,Communication,4.3,2.8,,,
Truman State University,1038,Randall Bame  ,Theater,,1.5,100%,,
Truman State University,1038,Laroy Brandt  ,Biology,4.2,1.5,,,
Truman State University,1038,Kelly Freeland  ,Nursing,,1.5,,,
Truman State University,1038,Marty Eisenberg  ,Not Specified,4.5,1.5,,,
Truman State University,1038,Timothy Humphry  ,Chemistry,3.5,3.9,60%,,
Truman State University,1038,Katherine Jackson  ,Finance,2.6,3.8,60%,,
Truman State University,1038,Darla Honn  ,Accounting,,3.8,,,
Truman State University,1038,Amy Fuller  ,Chemistry,2.8,3.9,22%,,
Truman State University,1038,Carol Wallace  ,Languages,2.6,3.9,,,
Truman State University,1038,Khang Tran  ,Mathematics,4.9,3.9,,,
Truman State University,1038,Meg Edwards  ,Political Science,,3.4,82%,,
Truman State University,1038,Theodore Frushour  ,Advisor,,3.4,,,
Truman State University,1038,Muhammad Asadi  ,Sociology,3.2,,100%,,
Truman State University,1038,Julie Lochbaum  ,Education,2.6,2.4,75%,,
Truman State University,1038,John Venner  ,Health Science,4.1,2.4,,,
